station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
103458874,45.09840718,-69.68168546,1054,364,225.5,240,172,315,1.023845484,0.747482993,1.385772309,0.743108425,1.355227715,1.835466683,0.007705285,5
103458874,45.10804776,-69.65790953,1059,351,234,245,171,310,1.03956044,0.764397906,1.365168539,0.722846442,1.3,1.825757576,0.007361926,5
106401136,44.38887948,-69.17777137,679,223,195,203,141,268,1.038147139,0.732824427,1.44,0.714953271,1.369458128,1.930232558,0.009489693,5
106401136,44.39067204,-69.17643364,681,205,199,204,146,272,1.001945525,0.740331492,1.366013072,0.733009709,1.344,1.85443038,0.008627955,5
106401136,44.39922906,-69.18247572,689,212,219,219,157,275,1.027963458,0.751093037,1.292631458,0.738705842,1.2597732,1.754021979,0.007552569,5
106401482,44.35074079,-69.43598453,653,356,203,203,147,280.5,1.021127808,0.746214299,1.40517256,0.733838018,1.362392723,1.9376685,0.009113401,5
106401482,44.3587315,-69.43466464,658,351,224,219,164,270,1.010204082,0.757412399,1.283898305,0.745980707,1.269541779,1.731707317,0.007676193,5
106401662,44.29082831,-69.3741591,611,342,215.5,232,165,279,1.078477532,0.75119284,1.252358491,0.698912153,1.168145763,1.711673233,0.007105514,5
106401662,44.29220617,-69.36782717,616,340,217,233,158,292.5,1.064665472,0.7404807,1.365006364,0.696690996,1.260305107,1.798921833,0.008165732,5
106401716,44.2350182,-69.21787206,584,198,243,240.5,159,260.5,0.989438558,0.660595406,1.138144892,0.683820103,1.132962501,1.696237586,0.006784538,1
106401716,44.23809944,-69.2161018,586,193,240,232,152,256,1.003115265,0.655629139,1.126623377,0.667883212,1.10952381,1.707482993,0.007126118,1
106401792,44.25629257,-69.2663202,594,231,213,217,161,276,1.027075812,0.796954315,1.315789474,0.74742268,1.258064516,1.714285714,0.007738154,5
106401846,44.28178079,-69.52144766,608,379,198,213,153,295,1.056,0.788530466,1.570921986,0.744565217,1.43902439,1.95010846,0.009259765,5
106401846,44.29168,-69.51330089,613,383,219,223,164,298,1.026666667,0.78343949,1.382550336,0.748898678,1.324675325,1.827586207,0.007802632,5
106401846,44.29806543,-69.50463685,618,397,193,207,147,276,1.055555556,0.767123288,1.541666667,0.72754491,1.452702703,2.021582734,0.01010989,5
106402130,44.18955321,-69.24381511,567,219,210,218,149,256,1.022727273,0.72327044,1.3,0.707224335,1.265306122,1.803278689,0.007739014,5
106402130,44.20266296,-69.24624087,575,213,212,223,162,266,1.053380783,0.737642586,1.376811594,0.700404858,1.2529274,1.899082569,0.007783262,5
106402252,44.17984129,-69.27768199,559,224,211,221.5,170.5,272.5,1.037706612,0.787349785,1.33747416,0.757587823,1.286857143,1.745453339,0.00749983,5
106402252,44.19953713,-69.27219729,573,226,224.5,235,171,264,1.023744099,0.777266432,1.284504033,0.742061492,1.196708014,1.627252721,0.006783372,5
106402380,44.21461781,-69.55209507,576,366,233.5,260.5,196,302.5,1.089619169,0.826564147,1.311093813,0.748226594,1.176856427,1.580707763,0.006465724,4
106402380,44.21637916,-69.55638026,578,367,241,270,197,308,1.088669951,0.82421875,1.327402135,0.748275862,1.205714286,1.586826347,0.00626024,4
106402762,44.18584324,-69.52180885,564,370,202.5,216.5,158,293,1.050069638,0.811111111,1.486225662,0.751092393,1.409785629,1.860762483,0.008575869,5
106402762,44.18690004,-69.52060044,565,369,206,216,159,292,1.06133829,0.798181818,1.434042553,0.74537037,1.351351351,1.8225,0.00839591,5
106402954,44.10051388,-69.27630858,538,205,234,247,184,272,1.034188034,0.789667897,1.223880597,0.769736842,1.168478261,1.564885496,0.006025382,4
106403550,44.09965773,-69.51695289,537,357,230,246,169,291,1.077568134,0.769230769,1.314285714,0.710638298,1.209876543,1.744094488,0.006917213,5
106403550,44.11917967,-69.46736769,541,338,238,252.5,191.25,283.5,1.054573504,0.778145421,1.270447755,0.728970258,1.170272079,1.590544157,0.006382522,5
106403550,44.17598862,-69.47588011,558,366,219,227.5,164.5,257,1.056808632,0.77835341,1.218758545,0.733526131,1.13240249,1.56512605,0.006695414,5
106403680,44.04729897,-69.44417144,515,365,234,234,177,273,1.015625,0.777777778,1.186721992,0.759061834,1.17,1.578034682,0.00636978,4
106403680,44.08373874,-69.46353286,530,347,229,243,184,287,1.053968254,0.797833935,1.318996416,0.756989247,1.239669421,1.668449198,0.006986692,4
106403894,44.01431945,-69.46965075,501,544,219,219,159,277,0.994212734,0.734415394,1.237249567,0.741361049,1.235994832,1.71497678,0.007298487,5
106404394,43.94610859,-69.77304798,473,577,231,246,182,257,1.053435115,0.77826087,1.182186235,0.734104046,1.127192982,1.555555556,0.006452013,5
106404394,43.95073267,-69.77071587,476,568,242.5,249.5,184.5,268,1.055278515,0.772355606,1.207899127,0.728000398,1.138984415,1.567954053,0.006279696,5
106451693,44.67995176,-70.43549203,839,201,273,280,215,354,1.016759777,0.774285714,1.307692308,0.762755102,1.23828125,1.680981595,0.005920926,4
